Accel_x	Accel_y	Accel_z	gyro_x	gyro_y	gyro_z
579.7	687.5	-467.1	29.6	33.2	-1.3
603.1	672.8	-477.7	42.9	41.6	-0.6
614.1	656.3	-470.3	46.1	46.6	1
613.4	621.2	-427	46.4	55.4	2.5
598.2	595.3	-394	50.9	62.7	0.3
603.8	579.2	-390.9	57.7	70.5	-5.2
624	580.6	-374.6	65.8	76.8	-10.8
661.7	578	-374.3	74.2	82.9	-10
683.7	531	-317.7	79.4	89.8	-7.9
697.8	482.4	-253.9	81.1	91.3	-11.2
715.6	478.1	-265.1	81.5	91.5	-14.9
749.5	496.4	-241.5	79.5	95.6	-17.4
777.4	486.5	-197.1	81.5	96.1	-17.5
808.8	435.4	-173.9	82.2	95.4	-11.6
851.4	380.9	-173.4	63.7	97.5	-5.2
874.6	323.3	-108.7	56.3	99.7	-1
915.4	286.6	-47.7	67.5	93.2	-11.2
931.5	328.1	-65.6	75.9	83.1	-26
938.2	371.4	-93.6	78.8	76.3	-27.5
941.1	372.4	-104.6	72.1	74.9	-19.1
953.2	348.3	-65.4	59.9	75.5	-13.6
954.5	352.1	-38.3	55	69.4	-15.3
942.5	390.2	-74.8	57.3	58.3	-16.8
919.4	417.7	-89.7	59.3	52.9	-14.2
895.8	400.6	-104.1	61.6	52.9	-10.7
890.2	384.1	-89.9	58.3	57.4	-11
880.1	393.5	-54.8	51.9	57.5	-14.7
873.4	426.5	-64.4	49.1	51	-15
861.9	450.4	-90.5	48.4	49.4	-10.4
862.4	427.3	-66.8	51.1	56	-7.5
860.4	415.4	-27.3	52.3	58.5	-11
858.2	420.1	-14.8	51	54.7	-10
894	426.2	-22.3	46.6	55.2	-4.9
904.6	423.7	11.4	43.6	56.9	-0.5
908.8	414.1	20.5	44.7	55.3	2.3
924.3	390	44.6	41.9	58	3.2
958.9	381.4	73.1	45	57.6	2.3
968.3	395	100.8	44.6	53.2	-0.4
945.8	400	86.3	43.4	45	3.1
949	394.4	89.8	37.7	43.1	6.5
949	385	93.9	36.8	39.4	5.8
939	374.5	75.8	40	35.7	4.2
933.1	368.5	71.6	41	33.7	3.8
919	366.2	84.4	40	27.1	4.7
928.7	358.7	60.3	33.2	27.2	7.1
934.2	349.9	82.5	25.3	31	4.5
906.3	345.5	98.7	32	22.3	-5.8
915.6	354.1	96.6	35.9	16.8	-14.1
942.3	390.9	130.1	27.2	14.5	-14.6
959.8	390.8	113.5	21	10.6	-9.3
953.3	401.8	93.7	18.6	10.5	-7.5
939.5	409.1	99.3	18.9	6.5	-4.9
925	405.7	77.5	16.1	4.6	1
947.3	387.8	60.9	9	15.1	0.9
946.1	393.5	121.7	5.6	18.7	-9.8
941.6	421	136.8	5.8	13.1	-17.5
912.2	447.1	115.8	9.1	6	-12.1
899.4	443.1	77.8	11	7.1	-2.4
892.4	429.8	59.9	8.7	13.8	0.8
905.2	421.7	90.9	6.1	22	-5
902.7	446.5	109.6	4.1	20.5	-7.6
892.5	450.8	103.7	1.6	15.5	4.3
912.5	421.1	86.4	-4.2	20.4	8.1
923.3	417.9	125.3	-2.3	24.5	3.1
927.7	425.1	131.3	4.4	23.4	-1.7
913.5	431.7	140.6	8.5	17.9	0.5
926.2	403.5	121.5	5.6	18.6	2.8
925.5	395.5	137.4	3.7	20.5	-0.2
916.8	401.9	132.9	1.8	18.6	-0.1
908.8	412.2	146.2	-3.2	14	5.2
896.7	398.5	149.2	-6.3	8.9	11.6
906	345.5	109.8	-6.1	11.8	9.4
906.1	335.6	149.9	-8.4	16.3	1.1
891.1	334.3	161.3	-9.7	12.6	0.2
