UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_15_44_45.194,3.757,28.6,0,0.759,0,0,0,0.046, ,0,0,0,0,0, ,-38.2,165.8,986.9,-0.2,-0.4,-1.8,25,-0.0680497,0.217913,0.213628,-0.0473847,-0.00651341,-0.00875706
2026_06_10_15_44_45.214,3.757,28.6,0,0.758,0,0,0,0.045, ,0,0,0,0,0, ,-37.8,153.5,989.7,0.3,-0.4,-1.8,25,-0.094649,0.256404,0.173474,-0.0069276,-0.00452227,-0.00966002
2026_06_10_15_44_45.234,3.757,28.6,0,0.759,0,0,0,0.045, ,0,0,0,0,0, ,-37.4,156.9,990.8,-2,-0.5,-1.8,25,-0.09986,0.0735014,0.230068,-0.0125594,-0.00505866,-0.0104711
2026_06_10_15_44_45.254,3.757,28.7,0,0.759,0,0,0,0.045, ,0,0,0,0,0, ,-80.5,168.8,982.6,10.4,1,6,25,-1.1514,0.274387,0.108647,0.229815,0.0287864,0.180078
2026_06_10_15_44_45.279,3.757,28.7,0,0.76,0,0,0,0.045, ,0,0,0,0,0, ,-288,134.3,987.9,18.4,2,10.3,25,-8.2908,-0.0901197,-0.0784654,0.959411,0.122134,0.657106
2026_06_10_15_44_45.294,3.757,28.7,0,0.759,0,0,0,0.045, ,0,0,0,0,0, ,-307.9,74,1007.3,4.5,1.6,10.8,25,-20.6154,-2.76095,0.349669,1.50382,0.225014,1.2252
2026_06_10_15_44_45.313,3.757,28.7,0,0.759,0,0,0,0.045, ,0,0,0,0,0, ,-293,197.6,962.8,-16.1,-3,-12.6,25,-32.3566,-3.73498,0.13959,1.16812,0.199132,1.19786
2026_06_10_15_44_45.332,3.757,28.7,0,0.758,0,0,0,0.045, ,0,0,0,0,0, ,-83.1,259.1,974.4,-21.5,-6.1,-34.2,25,-37.8501,-0.103876,-0.867634,0.205569,-0.0152786,0.0624763
2026_06_10_15_44_45.353,3.757,28.8,0,0.758,0,0,0,0.045, ,0,0,0,0,0, ,-126.4,180.4,983.6,3.8,-8.8,-53.6,25,-38.8023,2.92789,-1.31114,-0.22281,-0.361324,-2.02292
2026_06_10_15_44_45.372,3.757,28.8,0,0.76,0,0,0,0.045, ,0,0,0,0,0, ,58.4,243.5,974.4,4.1,-10.7,-63.9,25,-36.0467,5.41399,-1.72642,-0.00132891,-0.801417,-4.72436
2026_06_10_15_44_45.392,3.757,28.8,0,0.759,0,0,0,0.045, ,0,0,0,0,0, ,107.4,170.2,986.8,20,-10.3,-63.6,25,-27.5155,7.50137,-2.03437,0.606547,-1.25276,-7.51524
