time_theta_s,theta_gyro_only_deg,time_quat_s,quat_y_unwrap_deg
18.634999990463257,67.30724955230342,18.840001,-345.21940741070586
18.65400004386902,67.24628382182141,18.859999000000002,-345.40288656986843
18.674000024795532,67.17846838445284,18.88,-345.5815482525332
18.697999954223633,67.0414518942574,18.900000000000002,-345.75730079981884
18.71399998664856,66.9579227813375,18.920001,-345.9309916388889
18.733999967575073,66.86999673212428,18.939999,-346.1008442137793
18.753999948501587,66.792788756377,18.96,-346.2665638308758
18.77300000190735,66.6962030397214,18.98,-346.4365653411987
18.792999982833862,66.46728661882904,19.0,-346.61725456365417
18.812999963760376,66.22960979086116,19.020001,-346.8054580508144
18.83899998664856,66.04121325602004,19.039999,-346.9949062658383
18.85199999809265,65.98496145101285,19.06,-347.1833346823119
18.871999979019165,65.87564237362521,19.080000000000002,-347.3725863156064
18.89199995994568,65.7293793279337,19.100001,-347.56563879757346
18.91100001335144,65.5629162985107,19.119999,-347.7640220801727
18.932000160217285,65.38471972190605,19.14,-347.9647210684737
18.9520001411438,65.27700069975666,19.16,-348.1648967797341
18.97099995613098,65.14690628277474,19.180001,-348.37000566786566
18.991000175476074,64.92316178979878,19.199999000000002,-348.590825683552
19.009999990463257,64.55501894446975,19.22,-348.8335702045496
19.02999997138977,64.14064651091016,19.240000000000002,-349.0991638463948
19.049999952316284,63.704184756744276,19.260001,-349.38230261072704
19.070000171661377,63.310940646172384,19.279999,-349.67795028425127
19.09000015258789,62.92716070395841,19.3,-349.98536251853614
19.108999967575073,62.531891226741436,19.32,-350.30610236398246
19.130000114440918,62.058372672619385,19.340001,-350.6411244047067
19.14900016784668,61.68947424985435,19.359999000000002,-350.98400864534966
19.169000148773193,61.3964078965399,19.38,-351.3294870541187
19.187999963760376,61.1493354975866,19.400000000000002,-351.6745302756384
19.20800018310547,60.932481057610474,19.420001,-352.014712304286
19.228000164031982,60.71943206650968,19.439999,-352.3554756650384
19.248000144958496,60.35333489081781,19.46,-352.7142501415234
19.26699995994568,59.80294749417569,19.48,-353.10645514339427
19.28700017929077,59.11912096993964,19.5,-353.53600562889716
19.308000087738037,58.4059697176778,19.520001,-353.9931342222187
19.3270001411438,57.859194363098965,19.539999,-354.47146647567695
19.347000122070312,57.26383635753959,19.56,-354.97840946988026
19.367000102996826,56.52601750623099,19.580000000000002,-355.51894995177304
