UTC_Time,Vin,TC1,TC2,Rh1,Vh1,Ah1,Acp1,Dty1,Err1,Rh2,Vh2,Ah2,Acp2,Dty2,Err2,Accel_x,Accel_y,Accel_z,gyro_x,gyro_y,gyro_z,Temp_c,Accel_x_h,Accel_y_h,Accel_z_h,gyro_x_h,gyro_y_h,gyro_z_h
2026_06_10_18_05_19.795,3.868,60.1,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,328.3,-795.5,432.8,3.1,75.3,43,25,-242.663,-69.2019,294.375,-19.9938,3.10948,7.0891
2026_06_10_18_05_19.823,3.868,60.1,0,0.777,0,0,0,0.023, ,0,0,0,0,0, ,293,-799.9,438.8,-0.4,67.8,39.6,25,-262.1,-69.2509,282.253,-22.1688,-4.35149,3.3607
2026_06_10_18_05_19.834,3.868,60.1,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,240.2,-809.8,447.8,-3.2,62.2,35.3,25,-297.32,-74.6292,273.779,-23.5325,-9.5157,-1.01308
2026_06_10_18_05_19.861,3.868,60.1,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,211.4,-810.6,458.2,-4.8,63,30.4,25,-307.125,-70.8571,267.179,-23.6498,-8.16021,-5.70204
2026_06_10_18_05_19.874,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,226.6,-801.5,450.3,-0.7,70.4,29.2,25,-273.672,-57.7166,243.238,-18.2335,-0.488418,-6.51801
2026_06_10_18_05_19.900,3.868,60,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,204.5,-793.9,451.6,1.1,72.3,29,25,-278.422,-46.831,229.677,-15.3773,1.38346,-6.31473
2026_06_10_18_05_19.913,3.868,60.1,0,0.78,0,0,0,0.024, ,0,0,0,0,0, ,161,-788.5,456.4,-2.4,63.2,23.1,25,-303.63,-38.7418,220.334,-17.8336,-7.52359,-11.6502
2026_06_10_18_05_19.942,3.868,60,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,157.5,-800.6,476.9,-9,49.2,14,25,-288.521,-48.1123,226.783,-23.1458,-20.6386,-19.763
2026_06_10_18_05_19.953,3.868,60.1,0,0.78,0,0,0,0.024, ,0,0,0,0,0, ,176.3,-812,509,-16.7,41.9,7.7,25,-252.712,-56.2331,244.086,-29.2007,-26.4585,-24.6667
2026_06_10_18_05_19.980,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,228.6,-813.8,494.7,-21,38.5,5,25,-186.606,-54.5515,215.347,-31.5903,-28.1426,-25.7813
2026_06_10_18_05_19.993,3.868,60.1,0,0.781,0,0,0,0.023, ,0,0,0,0,0, ,272.5,-816.7,453.7,-17.8,39.2,9.6,25,-132.672,-54.039,162.474,-26.5627,-25.749,-19.7504
2026_06_10_18_05_20.020,3.868,60.1,0,0.78,0,0,0,0.023, ,0,0,0,0,0, ,245.1,-825.1,428.5,-9.7,50.1,18.3,25,-151.153,-58.89,128.141,-17.0909,-13.612,-10.112
2026_06_10_18_05_20.032,3.868,60,0,0.78,0,0,0,0.023, ,0,0,0,0,0, ,210.4,-826.4,436.2,1,64.9,21.9,25,-175.585,-56.5618,127.798,-5.67541,1.56656,-6.00545
2026_06_10_18_05_20.067,3.868,60,0,0.779,0,0,0,0.024, ,0,0,0,0,0, ,193.3,-811.7,433.4,4.8,72.3,23.3,25,-181.464,-38.863,117.295,-1.64535,8.64563,-4.28215
2026_06_10_18_05_20.074,3.868,60.1,0,0.78,0,0,0,0.024, ,0,0,0,0,0, ,188.2,-812.8,433.7,5.9,68.5,21,25,-175.351,-37.5612,110.438,-0.478602,4.43456,-6.25112
2026_06_10_18_05_20.102,3.868,60,0,0.779,0,0,0,0.023, ,0,0,0,0,0, ,171.6,-828.7,463.5,2.9,61.9,21.8,25,-180.759,-50.6879,132.601,-3.35803,-2.23457,-5.09457
2026_06_10_18_05_20.111,3.868,60.1,0,0.78,0,0,0,0.024, ,0,0,0,0,0, ,133.4,-842.7,493,4.7,64.4,24.3,25,-206.78,-61.1725,153.121,-1.40824,0.325424,-2.36029
2026_06_10_18_05_20.139,3.868,60.1,0,0.78,0,0,0,0.023, ,0,0,0,0,0, ,72.5,-853.2,480.4,6.7,65.7,20.5,25,-253.224,-67.6249,131.575,0.616633,1.56598,-5.90068
2026_06_10_18_05_20.151,3.868,60,0,0.78,0,0,0,0.023, ,0,0,0,0,0, ,-1.3,-911,431.3,8.7,59.2,12.8,25,-309.345,-119.543,75.9527,2.51812,-4.8314,-13.0065
